ticker,error_type,error_message,timestamp
MMM,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T18:55:49.345769+00:00
HON,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T18:55:55.458588+00:00
EMR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:02:11.880696+00:00
ITW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:02:17.867283+00:00
PH,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:02:24.918504+00:00
ROK,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:02:31.785627+00:00
AME,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:02:40.470750+00:00
IEX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:02:47.427942+00:00
GNRC,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:02:55.712719+00:00
SWK,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:03:02.050732+00:00
PNR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:03:09.857684+00:00
RRX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:03:16.113274+00:00
XYL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:03:22.556397+00:00
FELE,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:03:28.428471+00:00
TT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:03:34.670190+00:00
IR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:03:40.924086+00:00
CARR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:03:47.166271+00:00
OTIS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:03:53.240928+00:00
